
Xi  X                   F(x)                G(x)                
0   2.000000000         -13.000000000       151.000000000       
1   2.086092715         -13.422413505       158.466476025       
2   2.170794627         -13.819820115       165.515656482       
3   2.254290173         -14.190344083       172.052696779       
4   2.336766905         -14.532229185       177.985304029       
5   2.418415383         -14.843752901       183.222728692       
6   2.499430184         -15.123147286       187.674719750       
7   2.580011880         -15.368521630       191.250425188       
8   2.660369985         -15.577781639       193.857206422       
9   2.740726975         -15.748538975       195.399321277       
10  2.821323667         -15.878003356       195.776412411       
11  2.902426406         -15.962846535       194.881713332       
12  2.984336845         -15.999022505       192.599847379       
13  3.067405563         -15.981519702       188.804038214       
14  3.152051632         -15.904005816       183.352459753       
15  3.238791706         -15.758297829       176.083304764       
16  3.328285130         -15.533535836       166.807900163       
17  3.421407433         -15.214827790       155.300761098       
18  3.519377512         -14.780884360       141.284707311       
19  3.623995234         -14.199554732       124.407844245       
20  3.738132368         -13.418478838       104.207395420       
21  3.866899417         -12.342454031       80.057095900        
22  4.021070061         -10.765112338       51.147705249        
23  4.231541133         -8.065355241        17.392493756        
24  4.695267345         0.367807485         25.661041207        
25  4.680934042         0.051702123         22.394295268        
26  4.678625323         0.001133759         21.892597301        
27  4.678573536         0.000000555         21.881420640        
28  4.678573510         0.000000000         21.909090909        
