i   p0                  p1                  q0                  q1                  p                   
2   -1.000000000        1.000000000         -11.626822157       0.903790087         0.730902778         
3   -1.000000000        0.730902778         -11.626822157       0.799297657         0.521683441         
4   -1.000000000        0.521683441         -11.626822157       0.682833488         0.361736198         
5   -1.000000000        0.361736198         -11.626822157       0.497638943         0.254360569         
6   -1.000000000        0.254360569         -11.626822157       0.299212678         0.192959672         
7   -1.000000000        0.192959672         -11.626822157       0.152179882         0.162527739         
8   -1.000000000        0.162527739         -11.626822157       0.069141090         0.148863868         
9   -1.000000000        0.148863868         -11.626822157       0.029538094         0.143055971         
10  -1.000000000        0.143055971         -11.626822157       0.012258133         0.140650799         
11  -1.000000000        0.140650799         -11.626822157       0.005023284         0.139666031         
12  -1.000000000        0.139666031         -11.626822157       0.002047673         0.139264744         
13  -1.000000000        0.139264744         -11.626822157       0.000832898         0.139101543         
14  -1.000000000        0.139101543         -11.626822157       0.000338485         0.139035223         
15  -1.000000000        0.139035223         -11.626822157       0.000137508         0.139008281         
16  -1.000000000        0.139008281         -11.626822157       0.000055854         0.138997338         
17  -1.000000000        0.138997338         -11.626822157       0.000022686         0.138992893         
18  -1.000000000        0.138992893         -11.626822157       0.000009214         0.138991088         
19  -1.000000000        0.138991088         -11.626822157       0.000003742         0.138990355         
20  -1.000000000        0.138990355         -11.626822157       0.000001520         0.138990057         
21  -1.000000000        0.138990057         -11.626822157       0.000000617         0.138989936         
22  -1.000000000        0.138989936         -11.626822157       0.000000251         0.138989887         
23  -1.000000000        0.138989887         -11.626822157       0.000000102         0.138989867         
24  -1.000000000        0.138989867         -11.626822157       0.000000041         0.138989859         
25  -1.000000000        0.138989859         -11.626822157       0.000000017         0.138989856         
26  -1.000000000        0.138989856         -11.626822157       0.000000007         0.138989854         
27  -1.000000000        0.138989854         -11.626822157       0.000000003         0.138989854         

